id	lab	st	et	TOTUSJH_min	TOTUSJH_max	TOTUSJH_median	TOTBSQ_min	TOTBSQ_max	TOTBSQ_median	TOTPOT_min	TOTPOT_max	TOTPOT_median
3497	NF	2013-12-17T10:24:00	2013-12-17T22:12:00	1360.6869722219415	1796.8348077521487	1560.4781799483285	13415850657.8724	19548392863.952805	16689330576.81535	2.2241811104526704e+23	3.64073137363308e+23	3.09690670599415e+23
3591	NF	2014-01-09T20:00:00	2014-01-10T07:48:00	67.58334110447082	122.51907799678007	80.03385596016932	394546225.295	639198808.2586999	510650434.722	2.3839009599256013e+21	4.3097637754875444e+21	3.2418975028036365e+21
3497	C	2013-12-19T16:24:00	2013-12-20T04:12:00	2387.389400569883	2796.874544250558	2688.73645913958	31431763481.561504	35632840684.161194	35143117082.6579	5.537445392996668e+23	6.266627799283537e+23	5.895502775878318e+23
3576	NF	2014-01-04T18:12:00	2014-01-05T06:00:00	24.722524324778238	35.88230844292865	29.83857503503988	194622669.6498	257020712.2051	236292632.5833	1.3782993680691794e+21	2.0184568791976308e+21	1.7889705566348876e+21
3457	NF	2013-12-04T12:36:00	2013-12-05T00:24:00	772.7396949140407	884.3304195780893	853.0546333238232	14159264391.3473	15250839572.452703	14600087139.6954	1.8245195585619738e+23	2.048443458323917e+23	1.9332042781985995e+23
3265	NF	2013-10-08T12:36:00	2013-10-09T00:24:00	9.809841566766883	37.37641718502794	17.536759465734278	69985399.5711	240795968.15110004	121395055.82050002	4.1283420022484337e+20	1.8295022157303327e+21	9.217824188597641e+20
3334	NF	2013-11-01T13:00:00	2013-11-02T00:48:00	53.75914409631964	74.53617740746253	63.63073980028818	719446996.6191001	928712432.0332	784116471.1155001	2.79435717217188e+21	4.111046231895365e+21	3.501060153839596e+21
3420	NF	2013-11-24T16:24:00	2013-11-25T04:12:00	546.4771316951501	621.8853666575568	602.7873256605087	6944609662.3882	8502121674.344002	7709940693.59795	6.8346441757834495e+22	9.39417789484649e+22	8.067204556656339e+22
3335	NF	2013-11-02T01:36:00	2013-11-02T13:24:00	6.2182660178241616	15.386502113003232	10.868499308339523	44913302.6037	94991886.3211	73944067.2827	2.9762230793332674e+20	7.3579357188591e+20	5.090939865308209e+20
3362	NF	2013-11-08T12:48:00	2013-11-09T00:36:00	46.615346125157785	83.85069111463096	73.1019492786156	285394294.4454	716471875.1769001	670851799.2963	2.9950495047781707e+21	6.036305950334271e+21	4.76440578676145e+21
3497	NF	2013-12-17T20:24:00	2013-12-18T08:12:00	1676.1194364477478	1907.847303596061	1727.357994809001	19388127112.0748	24007431187.995102	20488227471.41225	3.503225751967101e+23	4.486641205797288e+23	3.908967802863586e+23
3293	NF	2013-10-22T19:48:00	2013-10-23T07:36:00	239.22975911672447	272.25891005464456	255.95799652678207	2470501419.6261	2804541605.4902	2562485334.7893	1.5590117128648029e+22	1.7869865375249914e+22	1.6740215535352163e+22
3448	NF	2013-12-01T06:24:00	2013-12-01T18:12:00	575.4727180556945	769.2342423663941	696.6677444215718	7155461884.7978	8076229799.8633	7552097240.908152	3.1750793046336943e+22	4.450636465601128e+22	3.841990432921179e+22
3366	C	2013-11-16T20:12:00	2013-11-17T08:00:00	2848.177099707585	3162.777221084397	3054.0600167028197	26014550901.895203	28928007714.882008	27842366191.9105	3.13578342830828e+23	3.606825133316077e+23	3.444401980234461e+23
3371	NF	2013-11-10T13:12:00	2013-11-11T01:00:00	45.02433503809628	61.03228343146826	52.362665992423786	275894007.67700005	423820819.14110017	386238474.8481	2.1902948713570886e+21	3.642077770412324e+21	2.780623982075553e+21
3309	NF	2013-10-29T12:36:00	2013-10-30T00:24:00	27.93050406280749	43.79553349599128	35.41532774649471	213201026.7648	318528810.6491	271656295.2042	1.6575136734070317e+21	2.6196282006744523e+21	2.1097941811128094e+21
3347	NF	2013-11-07T14:36:00	2013-11-08T02:24:00	79.52639207454763	136.6413058500097	102.94062328362239	505036177.9014	771071141.7793001	603460546.417	2.7311849887357935e+21	5.736211839428167e+21	3.794776569147972e+21
3647	C	2014-01-24T03:00:00	2014-01-24T14:48:00	2315.954889752246	2603.7319627176403	2412.102846861145	36221095302.6885	38482843820.785095	37126456109.84495	6.798905387034361e+23	7.108346703009062e+23	6.972035620658825e+23
3578	NF	2014-01-10T20:36:00	2014-01-11T08:24:00	29.5051796313306	54.813659927613706	39.211237847076994	266802357.2852	519901614.2491	338573334.1567	1.97690425335469e+21	3.6030266997568087e+21	2.394698750746447e+21
3480	NF	2013-12-09T07:36:00	2013-12-09T19:24:00	80.47623668407381	114.35711185042422	100.57423490764283	751565112.1738	885379322.5169002	818938493.6092001	6.398272141239234e+21	7.94609635147519e+21	7.13070974336151e+21
3529	NF	2013-12-24T03:48:00	2013-12-24T15:36:00	23.049500920780915	63.034514144365986	40.08287365173834	184522617.4746	491843075.9612	285420120.88960004	1.1879275326473311e+21	3.4600630712366583e+21	2.1421123010711443e+21
3400	NF	2013-11-26T02:12:00	2013-11-26T14:00:00	348.34410011241835	412.8047231582971	396.974680375901	7771579597.600902	8232430179.6784	8124064662.9198	1.4027063112698275e+23	1.542454101246845e+23	1.4883263445530532e+23
3419	NF	2013-11-23T02:36:00	2013-11-23T14:24:00	9.96024284623775	18.455097319313566	12.292155475585938	60785858.7013	99917364.4528	70631464.33495	4.62828217687389e+20	8.743730435390561e+20	5.565159294989735e+20
3347	NF	2013-11-07T00:36:00	2013-11-07T12:24:00	112.56140522910124	168.85088049691092	142.22236801905802	699626772.3306	971517468.457	845616342.0005	5.774787179008757e+21	8.182957747090638e+21	7.001593121224966e+21
3464	NF	2013-12-04T21:00:00	2013-12-05T08:48:00	22.13816883469329	57.72230936909057	34.67004430711076	162898507.2059	390034247.76470006	273455710.73705006	1.0504537853509332e+21	3.0799149883623756e+21	1.9456092690840428e+21
3344	NF	2013-11-05T11:36:00	2013-11-05T23:24:00	9.118934936333373	34.772116781070515	16.70302826044113	55006154.44230001	185382064.57060003	108932679.8535	3.398915787138783e+20	2.4919376652552136e+21	7.661998595114853e+20
3441	NF	2013-11-29T20:48:00	2013-11-30T08:36:00	62.10637949820371	138.2642361458819	76.47425605980698	552502961.7512	1171653262.5388002	675424683.5254002	4.961457896360266e+21	1.2653858418230955e+22	5.925590822126231e+21
3423	NF	2013-11-24T03:36:00	2013-11-24T15:24:00	12.442313791803446	26.558753430897113	18.469004858908	99636182.6081	205510197.7429	128364973.64019999	6.267416414603548e+20	1.480349718385002e+21	8.779774445304328e+20
3441	NF	2013-11-27T19:48:00	2013-11-28T07:36:00	74.03977325839995	134.40674723726752	91.71282133441278	438692068.8422	1000044756.0240002	713694296.3350999	4.586792977568274e+21	9.34304981032362e+21	7.125342283394091e+21
3540	NF	2013-12-28T04:24:00	2013-12-28T16:12:00	31.691903250995804	51.25753964008833	44.406629730456515	230067760.3907	335713442.4462	287260613.80105007	1.6885394000157042e+21	2.370426586449867e+21	2.034958548430532e+21
3601	NF	2014-01-13T23:24:00	2014-01-14T11:12:00	599.6745639782397	698.3955397820537	660.366528784929	11704556794.8435	13021883650.2181	12477830125.483402	2.243659911830707e+23	2.488917931976679e+23	2.385261258405516e+23
3367	NF	2013-11-12T16:24:00	2013-11-13T04:12:00	136.0754449965476	222.92597691946327	158.81559819519595	1195805371.0078	1729421140.7981002	1433371454.4213	8.713320788830094e+21	1.5312910059533786e+22	1.0526556669968917e+22
3367	NF	2013-11-10T07:24:00	2013-11-10T19:12:00	70.23259229203482	94.93335967794373	84.69463438770008	714065417.4676	943984549.8762	859429854.612	5.626248752797723e+21	7.600602350062275e+21	6.678711337884928e+21
3515	C	2013-12-17T23:24:00	2013-12-18T11:12:00	61.522211964218855	418.69478853311614	78.09179262837927	551899045.7797	3458565803.7938004	630650237.1314	3.5234144554297784e+21	3.982099640080549e+22	4.1375687267385145e+21
3557	NF	2014-01-03T00:36:00	2014-01-03T12:24:00	7.942284088842348	15.189924363076678	11.344946468009415	52209217.02960001	98139095.8232	74257389.28635001	3.7028845907392594e+20	6.76209884748683e+20	5.34888355010021e+20
3595	NF	2014-01-14T13:24:00	2014-01-15T01:12:00	49.27767151401818	63.2244317444629	54.89137238414622	439569043.41480017	586273568.4224	505935622.4516	2.919412276010081e+21	3.6107178477432734e+21	3.3105278000015443e+21
3405	NF	2013-11-21T00:12:00	2013-11-21T12:00:00	3.4941854660187968	15.569003776001484	8.496696197252142	19832678.306800004	90091407.4087	62213201.818100005	1.205180537049584e+20	8.00480029569596e+20	3.5902508202131364e+20
3336	C	2013-11-01T15:48:00	2013-11-02T03:36:00	20.425691617456344	42.880402113868776	27.681536544766637	203170214.38780004	359801331.2788	260580463.26815003	1.077676925745664e+21	2.389033356269574e+21	1.589791419272244e+21
3306	NF	2013-10-27T23:24:00	2013-10-28T11:12:00	56.22127048564887	83.71028854722118	73.14487399637987	459341402.9936	634290529.7139001	579432811.1027001	3.231722403114165e+21	4.849639751826872e+21	4.327455648007481e+21
3350	NF	2013-11-04T23:48:00	2013-11-05T11:36:00	92.54733541081973	121.10726885168992	108.00431856220462	688089522.4768001	1047267983.0886	883187751.513	5.448319927452391e+21	7.343046184224605e+21	6.49965391829634e+21
3452	NF	2013-12-05T18:24:00	2013-12-06T06:12:00	23.33238287773864	34.90686802019776	30.49670686602559	125136118.15670002	220384854.0655	189362463.12565	5.259444615800516e+20	1.1393038698836266e+21	9.5244908284102e+20
3368	NF	2013-11-19T19:48:00	2013-11-20T07:36:00	344.1044197254264	383.6707620596395	367.52860099332173	8446608425.951402	8934617643.5911	8750237845.26075	1.4804418581851805e+23	1.569402649437047e+23	1.537712001889826e+23
3385	NF	2013-11-23T19:36:00	2013-11-24T07:24:00	89.87758549786942	131.07117162112928	109.5689656153807	1071820409.8961	1460329096.1374002	1264739477.1393003	5.342284519533785e+21	8.315922403801847e+21	6.308053923945789e+21
3395	NF	2013-11-24T21:12:00	2013-11-25T09:00:00	223.4076514597425	284.2235630937919	260.1979211167599	2298748764.4116	2724877573.2526	2632083134.17105	1.2612899506983048e+22	1.737461780355349e+22	1.5962816994510044e+22
3401	NF	2013-11-17T15:00:00	2013-11-18T02:48:00	25.01461026479213	35.910996890132004	30.625539706692564	195977343.2828	241809201.9902	219709426.20445	1.4029643327984768e+21	1.843412380428524e+21	1.6360885719417215e+21
3473	C	2013-12-13T14:24:00	2013-12-14T02:12:00	2487.363965833067	2947.6006342668074	2717.4513574938546	31840147541.139305	35258497123.9926	34441878694.73705	5.974464319239971e+23	6.497250847680112e+23	6.294230415229439e+23
3451	NF	2013-12-02T00:12:00	2013-12-02T12:00:00	4.533152821252831	10.051295880571946	7.689263975247335	37641504.97700001	65693427.59350001	46633237.602850005	1.9686227919510923e+20	4.556191915446485e+20	3.034554550317216e+20
3452	NF	2013-12-03T21:24:00	2013-12-04T09:12:00	40.763319152986796	69.56201997385827	59.27729557199196	261895776.3408	421183377.4125	360995986.327	1.3709793764966775e+21	2.6109225957837096e+21	2.2018942215979868e+21
3569	NF	2014-01-06T08:00:00	2014-01-06T19:48:00	96.20099221549029	115.91676482694723	106.25366915070092	789125322.9185001	885534226.9008	849476983.74295	6.253740700824239e+21	7.679979491923368e+21	6.698594825953587e+21
3836	C	2014-03-17T13:24:00	2014-03-18T01:12:00	1233.429874026736	1599.5392122780845	1506.6217009368752	18545150761.9524	22327912358.2818	21293212897.67405	1.730814991165831e+23	2.449744150372379e+23	2.1830019436368545e+23
3367	NF	2013-11-13T17:24:00	2013-11-14T05:12:00	181.49953138492333	266.3610955588897	200.67023273577954	1476173426.8766	1925420379.8632	1831353403.7997	1.2205109553775109e+22	1.8280418760076168e+22	1.540629506865114e+22
3368	NF	2013-11-18T22:48:00	2013-11-19T10:36:00	400.532196774484	471.55325322811495	445.6216271729653	9218202873.1565	9700975586.513702	9484461189.812698	1.6477124878172057e+23	1.7304710468863717e+23	1.694584008234949e+23
3441	NF	2013-11-29T15:48:00	2013-11-30T03:36:00	55.930154286984475	83.94970675567535	70.43601416206951	550053256.3995	682643711.6842	601087974.4282	4.185413190330577e+21	6.403559987715769e+21	5.397512836506024e+21
3437	NF	2013-12-01T15:24:00	2013-12-02T03:12:00	1584.3167624731132	1721.2766674260833	1681.9948058642672	25354759535.8366	26564815625.7316	26259042499.773598	4.347454805619094e+23	4.609787426895835e+23	4.4741284823548984e+23
3309	NF	2013-10-26T12:36:00	2013-10-27T00:24:00	152.87356447898242	210.07809290547203	180.1311698453989	1497692888.4634	1938811409.2359	1789424933.78075	1.2452965661423027e+22	1.684265575766198e+22	1.427436524481438e+22
3341	C	2013-11-08T14:12:00	2013-11-09T02:00:00	3277.604901729488	3674.011940679829	3412.8299570622253	44722364510.8421	46926949510.925705	46093721165.0125	8.717090854316508e+23	9.052935441497544e+23	8.872037958596179e+23
3453	NF	2013-11-30T23:12:00	2013-12-01T11:00:00	3.784320144627837	11.259160110607915	5.703937300907159	22518335.4613	64074071.6872	37507815.4144	1.4095028128159942e+20	3.783738750538334e+20	2.3091455456864312e+20
3306	NF	2013-10-26T05:24:00	2013-10-26T17:12:00	26.672792427790622	47.520224599536036	35.31393757269348	152128180.6034	249236024.0048	214262707.71695	7.014806926892587e+20	1.2096701009181936e+21	9.32188981515815e+20
3688	M	2014-02-01T18:00:00	2014-02-02T05:48:00	2043.7443651908573	2727.1639458259287	2396.4357830344106	20090875491.0124	25873735320.923103	23324603666.7064	3.122191801653021e+23	4.564468637742296e+23	3.867014132470326e+23
3515	NF	2013-12-23T17:24:00	2013-12-24T05:12:00	475.0994202673017	560.2158292381861	528.9896580564618	6219352186.924	7059723202.477502	6809362673.48645	8.584347840549274e+22	9.916398283221576e+22	9.525718750235585e+22
3441	NF	2013-12-02T01:48:00	2013-12-02T13:36:00	256.08278061736	327.11455260872737	292.42864385968	3397993536.2672005	4038443925.8633	3898684310.43475	2.0899719741580857e+22	3.0233446274865314e+22	2.5517165966710022e+22
3385	NF	2013-11-17T11:36:00	2013-11-17T23:24:00	169.34678444352855	207.24495221392914	188.4441367381408	1330649038.5266	1573990707.914	1436901155.995	1.070619256879203e+22	1.368291455845519e+22	1.217468141250852e+22
3385	NF	2013-11-20T01:36:00	2013-11-20T13:24:00	75.54683666244837	132.47830394178757	93.06982015819467	528088374.66520005	868764457.5904	622791386.32375	3.122238792838015e+21	5.709917067860861e+21	3.7859176661231977e+21
3576	NF	2014-01-05T06:12:00	2014-01-05T18:00:00	29.166454735876652	38.70197835433451	32.34043426753849	194675588.3158	257517388.3667	213433893.1504	1.3791070783212434e+21	1.9659385516017808e+21	1.5897986617723092e+21
3350	NF	2013-11-07T15:48:00	2013-11-08T03:36:00	59.81735861883214	96.73093542677854	70.949175707732	389503869.4935	550203421.1623	449195868.9394501	2.5175962917903233e+21	3.995666148585225e+21	3.120854210089971e+21
3591	NF	2014-01-07T00:00:00	2014-01-07T11:48:00	34.94738456675911	84.39719811998332	48.39929549780116	319007471.4378	586954365.7448	400519566.24625003	1.8007955688074938e+21	4.41864065803165e+21	2.3239666203098255e+21
3688	M	2014-02-01T04:00:00	2014-02-01T15:48:00	1919.2654602855075	2255.2051672276457	2146.7255311329704	19148039004.0835	20846129686.6608	19775690265.904297	2.7067390098734298e+23	3.078892156991799e+23	2.863352904397968e+23
3688	M	2014-02-01T16:00:00	2014-02-02T03:48:00	2043.7443651908573	2727.1639458259287	2275.506566251069	19980180319.521698	25779299195.879704	22290520667.74805	3.080650477149052e+23	4.466302673431967e+23	3.560491675982346e+23
3480	NF	2013-12-11T10:36:00	2013-12-11T22:24:00	8.707079365042361	22.990914914083447	12.597035752388905	50426482.9807	106608341.1258	70876093.20815	2.591203512319422e+20	9.956893389981082e+20	4.8719626801427566e+20
3551	NF	2013-12-28T11:12:00	2013-12-28T23:00:00	102.32349583103675	299.62756036584494	173.0049379801909	995970103.3741	3147982088.8122005	1928656552.1363	9.961056434796798e+21	2.96259132877507e+22	1.7365279449874591e+22
3386	NF	2013-11-17T17:24:00	2013-11-18T05:12:00	59.11903197486707	117.71145785331416	98.79325851642906	493809927.0161001	997653558.1043	819378593.77895	3.5507090660362635e+21	7.547952171280234e+21	5.668831189502228e+21
3535	C	2013-12-29T18:48:00	2013-12-30T06:36:00	1712.2659188588848	1928.2073624245722	1813.6038989389435	15710773465.1524	19191591040.8601	17667070321.994453	2.382962315219353e+23	3.077330484731865e+23	2.7658173759961552e+23
3446	NF	2013-12-01T19:36:00	2013-12-02T07:24:00	147.64099102355155	230.0578347487143	190.22905035243048	1990977424.1203003	2307329571.8198	2236295418.8425503	2.0812354188536042e+22	2.884484212471553e+22	2.6201109668287864e+22
3287	NF	2013-10-15T23:36:00	2013-10-16T11:24:00	60.4585996324579	98.43070009861546	71.54826723442349	604149469.2985001	758651033.3616999	637117265.9696002	4.2808416080845493e+21	7.113571853424256e+21	4.754370290840816e+21
3267	NF	2013-10-09T06:00:00	2013-10-09T17:48:00	55.77331186427942	90.35187342638727	67.68620239988812	378377939.7448	686178670.7851	613696558.0891001	3.105763457138451e+21	5.715313058430466e+21	4.837829362210547e+21
3302	NF	2013-10-23T02:24:00	2013-10-23T14:12:00	4.4920945995366495	13.321498960905284	9.6599068975409	36031172.9976	69446062.0797	51468943.45715	1.7779467820162947e+20	4.6580957901098254e+20	2.8182993337673705e+20
3580	C	2014-01-08T02:00:00	2014-01-08T13:48:00	1162.5976179383558	1281.545073810195	1212.9441942915514	21047638166.9485	23288477918.785103	22420506248.22635	4.1804473335858496e+23	4.8205733264948194e+23	4.550262192809151e+23
3804	C	2014-03-01T14:00:00	2014-03-02T01:48:00	893.5012974039328	1485.0902306475257	1043.8316972429134	19201283538.9831	23844551425.298603	20490314607.160652	3.684260833240754e+23	4.577583798171667e+23	3.88000515893326e+23
3483	NF	2013-12-11T03:36:00	2013-12-11T15:24:00	2056.322410836277	2263.4577414704872	2162.1474900010912	42281478183.829605	45173067363.3337	43792674449.25926	7.155012027415542e+23	7.43428208432139e+23	7.31552561902903e+23
3320	NF	2013-11-03T18:12:00	2013-11-04T06:00:00	52.63252891753472	83.75616468311216	60.97503563038077	404216859.5563	586897657.7095001	473253513.42305005	2.830865886455593e+21	4.5828890644033794e+21	3.5566817871884536e+21
3295	NF	2013-10-24T20:00:00	2013-10-25T07:48:00	2379.5753409699355	2669.6545755725588	2584.8273279017303	39653568112.2594	42593744292.462296	42136570683.98175	8.065934615668399e+23	8.533839512983965e+23	8.347048131186982e+23
3532	NF	2013-12-22T13:12:00	2013-12-23T01:00:00	95.70456278482331	122.76596188379986	105.30532317804219	1058212663.0453	1387429669.002	1150979569.8112001	9.97698479253783e+21	1.2260066297190843e+22	1.1175180876846889e+22
3432	NF	2013-12-05T00:36:00	2013-12-05T12:24:00	426.97465483968944	490.21022616303145	467.52795630357366	7163953681.1829	8248410355.6942	7939849204.236952	7.32944376944492e+22	9.228890202539575e+22	8.74710282250749e+22
3590	NF	2014-01-10T12:12:00	2014-01-11T00:00:00	5.631786155249428	12.393968865709677	8.70441401554558	29916762.313	67668293.09009999	50354758.8903	8.42585348693147e+19	2.961420865291856e+20	1.9915073442090634e+20
3492	NF	2013-12-12T05:00:00	2013-12-12T16:48:00	144.94911428662948	232.77669319746983	213.67726562210595	1847566085.7732	3093006308.7554	2753068452.8910003	1.1227434654361511e+22	1.954122868816024e+22	1.7143155299538793e+22
3295	NF	2013-10-23T23:00:00	2013-10-24T10:48:00	2660.3239906720555	2938.487686160155	2815.807178489991	41282595154.19232	44588360383.3933	43185041862.07031	8.313290451854273e+23	8.822159672598594e+23	8.598027532127898e+23
3370	NF	2013-11-15T12:00:00	2013-11-15T23:48:00	26.72421071428454	40.13299830029524	32.32699151695843	188989357.8	268438375.3086	234883225.3592	1.165276444137844e+21	2.0189108641000129e+21	1.6200387584013204e+21
3347	NF	2013-11-04T05:36:00	2013-11-04T17:24:00	79.43196897077561	151.39411257203218	118.79331111341716	855805537.7435001	1487523294.7135	1189262725.0006	4.4716385623890733e+21	9.251390652401112e+21	6.121747784631667e+21
3591	NF	2014-01-07T07:00:00	2014-01-07T18:48:00	46.669080153841065	87.464840164183	76.28839783600304	382406640.53050005	611191938.1903	537985099.8934	2.2536177170668944e+21	4.88565881635771e+21	3.9720209359962164e+21
3400	NF	2013-11-27T21:12:00	2013-11-28T09:00:00	260.0999003449319	342.49389219161765	322.757853752885	6177669603.1954	7163971129.4582	6789706917.242001	1.026122371865108e+23	1.1624539633020911e+23	1.1269597214336289e+23
3601	NF	2014-01-11T21:24:00	2014-01-12T09:12:00	970.42405847045	1080.23258535138	1017.8407823412404	16308015337.5633	18473778324.906403	17737950810.1242	2.8426754196582318e+23	3.1307221202909864e+23	3.0324997331492535e+23
3515	NF	2013-12-23T21:24:00	2013-12-24T09:12:00	476.7303317466324	560.2158292381861	512.9319394445971	6357900415.015501	7059723202.477502	6727911551.52195	8.054871886084307e+22	9.900512763226297e+22	9.20826608385586e+22
3465	NF	2013-12-15T02:12:00	2013-12-15T14:00:00	604.4233424064998	833.4543762683354	709.0269620156098	8624727170.970001	10214998137.382	9744031389.3141	3.3545147398835097e+22	5.4476491654475356e+22	4.256084452410665e+22
3686	C	2014-02-02T15:00:00	2014-02-03T02:48:00	9677.965870713815	11016.794831596046	10142.510754487812	128914963472.2631	140565240561.7734	137162717984.27435	3.1004715484137474e+24	3.3272265255195656e+24	3.2068810656515265e+24
3877	M	2014-03-21T16:36:00	2014-03-22T04:24:00	1206.2202333976645	1506.0236507667378	1382.841557939119	24503667632.6944	25499225617.569603	24747056805.9434	4.201580772487818e+23	4.519471567773705e+23	4.3713097131024635e+23
3560	NF	2014-01-06T12:24:00	2014-01-07T00:12:00	192.25213461379013	271.47801539314673	236.34985787807756	1414465849.6027002	1940180245.2453003	1663308803.8022	1.091098636899365e+22	1.5426226364565592e+22	1.3206074199194816e+22
3286	NF	2013-10-22T01:24:00	2013-10-22T13:12:00	151.5512321796838	201.5584876004462	168.87044147516144	3355778136.6201	3685238934.5088	3554800316.6553507	5.679292122616342e+22	6.322623693647274e+22	6.0480815231029396e+22
3483	NF	2013-12-11T00:36:00	2013-12-11T12:24:00	2056.322410836277	2223.471137980016	2115.205022331911	42521056871.7654	45631387906.213806	44387883045.9552	7.155012027415542e+23	7.466035607014512e+23	7.332589844694186e+23
3813	M	2014-03-11T10:24:00	2014-03-11T22:12:00	2184.7377508857912	2422.482380326744	2282.6522149461007	31313922053.2624	33799479046.6045	32410246546.344357	4.069977961004157e+23	4.390792999806019e+23	4.216891887295431e+23
3272	NF	2013-10-11T11:36:00	2013-10-11T23:24:00	7.8046984004829225	31.244223864933804	16.786522926127944	51309673.6747	135349044.6835	90248385.4075	3.718513952226165e+20	9.52463882533544e+20	6.391595309479868e+20
